time,AbsHumOut,Iglob,PARout,Pyrgeo,RadSum,Rain,Rhout,Tout,Winddir,Windsp
1,6.287179057636364,0.0,0.3636363666363636,-89.72727273727273,2999.0,0.0,54.71818180727273,13.100000000909091,2.0,2.3272727272727276
2,6.821873871916666,0.0,0.2500000027916667,-87.83333334499999,249.91666663733335,0.0,62.858333324166665,12.199999999166666,2.0,1.83333333525
3,6.904045173923077,0.0,0.0,-84.53846155538461,0.0,0.0,69.66923075461538,10.761538463846154,2.0,1.2307692307692308
4,7.168400102181818,0.0,0.0,-84.09090909727273,0.0,0.0,75.70909089999999,10.05454545509091,3.090909090909091,2.090909090909091
5,7.32288329325,0.0,0.0,-82.1666666725,0.0,0.0,80.4499999975,9.441666667166666,2.333333338916667,2.5
6,7.203368504923077,0.0,0.0,-81.69230769307691,0.0,0.0,82.3076923076923,8.830769231307691,2.0,1.8461538471538463
7,6.916643045727272,3.7272726940909084,8.181818120454546,-81.81818181545454,0.09090909090909091,0.0,81.55454545454546,8.34545454590909,2.909090909090909,2.0727272727272723
8,6.865619322083333,72.83333316833334,107.16666653916667,-85.66666666166667,10.749999963999999,0.0,80.80000000416666,8.374999998416667,4.0,2.55
9,7.045141670230769,224.84615356153847,409.4615378692308,-92.15384613538461,65.84615368769231,0.0,77.29230769692307,9.461538461307693,4.0,3.4538461538461536
10,7.385982610909091,386.99999981818183,731.2727269,-98.54545453909091,175.9999998181818,0.0,72.49090909818182,11.199999993636364,2.5454545454545454,3.254545456090909
11,7.461984910166667,537.3333331,1035.0833328083334,-104.25000000833334,336.24999973333337,0.0,67.17500000916667,12.5749999975,2.0,2.7999999999999994
12,7.285947643615385,689.6923076615385,1322.0769233076924,-109.46153844615385,568.0769226076923,0.0,59.16923078384615,14.215384614615385,2.0,2.8
13,7.056575759545454,800.8181817909091,1555.8181818181818,-112.54545455454546,836.0909087181818,0.0,51.790909071818184,15.836363633636363,2.0,2.8000000006363632
14,6.788808982750001,868.4999998833333,1695.8333331666665,-113.83333333333333,1125.083332875,0.0,46.3416666775,17.041666670833333,2.0,3.0
15,6.345626487307692,901.8461539307692,1764.1538462307692,-114.76923073076924,1458.615383923077,0.0,40.10000001769231,18.276923075384616,3.0769230820769233,3.230769234692308
16,6.208927835545455,877.7272728090909,1723.0909093636365,-113.72727272727273,1778.9999996363636,0.0,37.04545453181818,19.21818182090909,4.0,3.0
17,6.896232117083334,822.41666675,1611.9166669166668,-117.33333334166667,2071.3333329166667,0.0,39.291666674999995,19.999999996666666,4.0,2.3000000005
18,6.8613896727692305,732.8461541307693,1415.1538467692308,-113.69230771538462,2362.692307076923,0.0,38.315384603846155,20.33076923076923,3.076923076923077,2.4230769205384615
19,7.273481238363636,566.9090914363636,1098.000001090909,-108.0,2596.636363363636,0.0,40.17272727181818,20.518181815454543,2.0,3.1999999979090914
20,6.981235182916667,438.16666689166664,843.9166671500001,-107.250000025,2769.74999975,0.0,38.51666667166666,20.5333333375,2.0,3.549999998
21,7.123119662769231,270.1538463538461,514.3076925692308,-104.15384617692308,2900.384615230769,0.0,40.30769229076923,20.115384616153847,2.0,4.2
22,7.489756223181818,115.36363651636363,223.63636394545455,-99.63636364272726,2968.7272727272725,0.0,44.71818181363636,19.24545454818182,2.0,3.972727272727273
23,9.340718998333333,20.4166667475,44.9166668295,-89.33333333416665,2989.8333333333335,0.0,62.33333330916667,17.425000004166666,2.0,4.075
24,9.410784768692308,0.0,0.9230769282,-85.23076922846154,2992.0,0.0,68.29999998923077,16.03846153846154,2.0,4.3
